,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
4158,amazon,"Phoenix, AZ",Current Employee - Software Development Manager,5.0,4.0,5.0,5.0,5.0,5.0,580,
4159,amazon,"Sunnyvale, CA","Current Employee - Manager, Software Development &amp, Engineering",5.0,5.0,5.0,5.0,4.0,5.0,0,2018.0
4160,amazon,"Seattle, WA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,5.0,1759,2016.0
4161,amazon,"Seattle, WA",Current Employee - Senior Engineering Manager,3.0,3.0,3.0,3.0,4.0,4.0,1404,2016.0
4162,amazon,"Seattle, WA",Current Employee - Software Development Manager,4.0,3.0,3.0,5.0,5.0,4.0,1275,2013.0
4163,amazon,"Seattle, WA",Former Employee - Anonymous Employee,4.0,2.0,2.0,1.0,5.0,1.0,409,2017.0
4164,amazon,"Carlisle, PA",Former Employee - Tier I Warehouse Associate,4.0,2.0,3.0,4.0,4.0,5.0,257,2017.0
4165,amazon,"Seattle, WA",Current Employee - Finance Manager,4.0,1.0,2.0,4.0,3.0,3.0,245,2017.0
4166,amazon,"Seattle, WA",Current Employee - Senior Product Manager,5.0,4.0,5.0,5.0,5.0,4.0,2,2018.0
4167,amazon,"Seattle, WA",Current Employee - Senior TPM,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
4168,amazon,"Seattle, WA",Current Employee - Vendor Manager,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
4169,amazon,"Columbus, OH",Current Employee - Datacenter Technician,4.0,3.0,5.0,3.0,5.0,3.0,0,2018.0
4170,amazon,"Seattle, WA",Current Employee - Senior PM,4.0,5.0,5.0,4.0,3.0,3.0,0,2018.0
4171,amazon,"Seattle, WA",Current Employee - Anonymous Employee,4.0,4.0,4.0,5.0,4.0,5.0,0,2018.0
4172,amazon,"Seattle, WA",Current Employee - Software Development Engineer II,4.0,3.0,4.0,5.0,3.0,3.0,0,2018.0
4173,amazon,"Seattle, WA",Current Employee - Software Development Manager,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
4174,amazon,"Seattle, WA",Current Employee - Senior Finance Manager,5.0,4.0,5.0,5.0,4.0,5.0,0,2018.0
4175,amazon,"Shepherdsville, KY",Current Employee - ICQA,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
4176,amazon,"Seattle, WA",Current Employee - Software Development Engineer,5.0,3.0,4.0,5.0,4.0,4.0,0,2018.0
4177,amazon,"Staten Island, NY",Current Employee - Anonymous Employee,4.0,3.0,4.0,4.0,4.0,4.0,0,2018.0
4178,amazon,"Edgerton, KS",Current Employee - Stow,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
4179,amazon,"Holliston, MA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
4180,amazon,"San Francisco, CA",Current Employee - Web Development Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
4181,amazon,"Seattle, WA",Current Employee - SDM,5.0,4.0,5.0,5.0,4.0,4.0,1,2018.0
4182,amazon,"Petersburg, VA",Former Employee - Stower,5.0,3.0,5.0,5.0,5.0,3.0,0,2018.0
4183,amazon,"Orlando, FL",Current Employee - Seasonal Associate,5.0,3.0,5.0,4.0,3.0,2.0,0,2018.0
4184,amazon,"Houston, TX",Former Employee - Warehouse Associate,5.0,3.0,5.0,5.0,5.0,5.0,0,2018.0
4185,amazon,"Seattle, WA",Current Employee - Software Development Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
4186,amazon,"Seattle, WA",Former Employee - Customer Service Representative,5.0,5.0,3.0,2.0,3.0,5.0,0,2018.0
4187,amazon,"Ashland, VA",Current Employee - Anonymous Employee,4.0,4.0,3.0,3.0,4.0,3.0,0,2018.0
4188,amazon,"Sacramento, CA",Current Employee - Fulfillment Associate,4.0,3.0,4.0,4.0,5.0,4.0,0,2018.0
