,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
23116,apple,"Tempe, AZ",Current Employee - Specialist,5.0,4.0,5.0,5.0,4.0,5.0,248,2017.0
23117,apple,"Lakewood, CO",Current Employee - Apple At Home Advisor,5.0,3.0,5.0,5.0,4.0,5.0,442,2015.0
23118,apple,"San Diego, CA",Former Employee - Mac Genius,4.0,3.0,5.0,3.0,3.0,4.0,0,2018.0
23119,apple,"Cupertino, CA",Former Employee - Systems Design Engineer,4.0,2.0,5.0,5.0,4.0,4.0,0,2018.0
23120,apple,"Cupertino, CA",Current Employee - Anonymous Employee,5.0,5.0,1.0,3.0,5.0,5.0,0,2018.0
23121,apple,"New York, NY",Current Employee - Lead,4.0,2.0,4.0,3.0,5.0,3.0,0,2018.0
23122,apple,"Cupertino, CA",Current Employee - Anonymous Employee,4.0,2.0,4.0,3.0,5.0,3.0,1,2018.0
23123,apple,"Orlando, FL",Former Employee - Genius,4.0,3.0,4.0,1.0,5.0,1.0,1,2018.0
23124,apple,"New York, NY",Former Employee - Head of Business Development,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
23125,apple,"New York, NY",Current Employee - Apple Genius,5.0,4.0,4.0,5.0,5.0,3.0,0,2018.0
23126,apple,"Austin, TX",Former Employee - ADPS T2 Advisor,5.0,5.0,5.0,5.0,4.0,4.0,0,2018.0
23127,apple,"Elmhurst, NY",Current Employee - Technical Specialist,4.0,2.0,5.0,3.0,4.0,3.0,0,2018.0
23128,apple,"Tukwila, WA",Current Employee - Specialist,5.0,2.0,5.0,5.0,4.0,4.0,0,2018.0
23129,apple,"San Jose, CA",Current Employee - Specialist,4.0,4.0,4.0,3.0,5.0,4.0,0,2018.0
23130,apple,"New York, NY",Current Employee - Anonymous Employee,4.0,3.0,4.0,4.0,5.0,3.0,0,2018.0
23131,apple,"San Jose, CA",Former Employee - Sales Associate,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
23132,apple,"Boulder, CO",Current Employee - Operations Specialist,5.0,2.0,5.0,3.0,5.0,3.0,0,2018.0
23133,apple,"Cupertino, CA",Former Employee - Software Manager,4.0,3.0,5.0,3.0,4.0,5.0,0,2018.0
23134,apple,"Bridgewater, NJ",Current Employee - Technical Specialist,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
