,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
20964,facebook,"Menlo Park, CA",Current Employee - Product Operations,5.0,4.0,4.0,5.0,5.0,4.0,0,2018.0
20965,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,294,2017.0
20966,facebook,"Menlo Park, CA",Current Employee - Site Selection Program Manager,5.0,4.0,5.0,4.0,5.0,5.0,363,2016.0
20967,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,5.0,6,2018.0
20968,facebook,"Seattle, WA",Current Employee - Staff Software Engineer,5.0,5.0,5.0,5.0,4.0,5.0,4,2018.0
20969,facebook,"Menlo Park, CA",Current Employee - Product Manager,2.0,1.0,1.0,2.0,4.0,1.0,52,2018.0
20970,facebook,"New York, NY",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,3,2018.0
20971,facebook,"Chicago, IL",Current Employee - Sourcer,3.0,2.0,3.0,2.0,3.0,2.0,5,2018.0
20972,facebook,"Menlo Park, CA",Current Employee - Project Manager,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
20973,facebook,"New York, NY",Current Employee - Research Scientist,5.0,4.0,5.0,5.0,5.0,4.0,0,2018.0
20974,facebook,"New York, NY",Current Employee - Recruiting Manager,5.0,5.0,5.0,5.0,5.0,5.0,4,2018.0
20975,facebook,"Menlo Park, CA",Current Employee - Designer,5.0,5.0,5.0,5.0,5.0,4.0,9,2018.0
20976,facebook,"Menlo Park, CA",Former Employee - Program Manager,3.0,5.0,5.0,4.0,4.0,3.0,2,2018.0
20977,facebook,"New York, NY",Current Employee - Recruiter,5.0,5.0,4.0,5.0,5.0,4.0,0,2018.0
20978,facebook,"Washington, DC",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
20979,facebook,"Seattle, WA",Current Employee - Sourcer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
20980,facebook,"San Francisco, CA",Current Employee - Recruiter,5.0,3.0,5.0,5.0,5.0,5.0,0,2018.0
20981,facebook,"Menlo Park, CA",Current Employee - Technical Recruiter,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
20982,facebook,"New York, NY",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
20983,facebook,"New York, NY",Former Employee - Sales Operations,2.0,4.0,2.0,2.0,4.0,1.0,2,2018.0
20984,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,2.0,1.0,2.0,1.0,5.0,1.0,19,2018.0
20985,facebook,"Seattle, WA",Current Employee - Software Engineer,5.0,3.9,4.5,4.4,4.6,4.3,5,2018.0
20986,facebook,"Menlo Park, CA",Current Employee - Software Engineer,2.0,4.0,1.0,3.0,5.0,3.0,12,2018.0
20987,facebook,"Austin, TX",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
20988,facebook,"Menlo Park, CA",Current Employee - Program Manager,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
20989,facebook,"San Francisco, CA",Current Employee - Product Specialist,5.0,5.0,5.0,5.0,4.0,5.0,1,2018.0
20990,facebook,"Menlo Park, CA",Current Employee - Senior Technical Program Manager,3.0,4.0,3.0,4.0,5.0,3.0,5,2018.0
20991,facebook,"Columbus, OH",Current Employee - Project Manager,2.0,5.0,5.0,5.0,5.0,5.0,5,2018.0
20992,facebook,"Menlo Park, CA",Current Employee - Film Producer,5.0,5.0,5.0,5.0,5.0,5.0,4,2018.0
20993,facebook,"Seattle, WA",Current Employee - Data Engineer,1.0,1.0,2.0,1.0,5.0,1.0,26,2018.0
20994,facebook,"Menlo Park, CA",Former Employee - Anonymous Employee,1.0,1.0,2.0,2.0,4.0,1.0,2,2018.0
20995,facebook,"Menlo Park, CA",Former Employee - Software Engineer,4.0,3.0,3.0,5.0,5.0,2.0,0,2018.0
20996,facebook,"Menlo Park, CA",Former Employee - Administrative Assistant,1.0,1.0,1.0,1.0,5.0,1.0,7,2018.0
20997,facebook,"Seattle, WA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
20998,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,4.0,5.0,0,2018.0
20999,facebook,"Menlo Park, CA",Current Employee - Referral Program Specialist,5.0,4.0,5.0,5.0,4.0,4.0,0,2018.0
21000,facebook,"New York, NY",Current Employee - Director,5.0,4.0,5.0,4.0,5.0,4.0,2,2018.0
21001,facebook,"San Francisco, CA",Current Employee - Designer,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
21002,facebook,"Menlo Park, CA",Current Employee - Industry Manager,5.0,3.0,5.0,5.0,5.0,5.0,3,2018.0
21003,facebook,"Washington, DC",Current Employee - Public Policy Manager,2.0,2.0,1.0,1.0,3.0,3.0,22,2018.0
21004,facebook,"Menlo Park, CA",Current Employee - Recruiting Coordinator,5.0,4.0,5.0,4.0,3.0,4.0,3,2018.0
21005,facebook,"Menlo Park, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,3,2018.0
21006,facebook,"Menlo Park, CA",Current Employee - Data Analyst,5.0,3.0,5.0,3.0,4.0,5.0,0,2018.0
21007,facebook,"Chicago, IL",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,2,2018.0
21008,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,3.0,5.0,5.0,5.0,3.0,1,2018.0
21009,facebook,"Menlo Park, CA",Former Employee - Anonymous Employee,1.0,1.0,1.0,2.0,5.0,3.0,26,2018.0
21010,facebook,"San Francisco, CA",Current Employee - Media Partnerships - Employment Brand,5.0,4.0,5.0,5.0,5.0,5.0,3,2018.0
21011,facebook,"New York, NY",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,8,2018.0
21012,facebook,"San Francisco, CA",Current Employee - Recruiting Coordinator,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21013,facebook,"Menlo Park, CA","Former Employee - Software Developer, Community Operations Engineering",4.0,3.0,3.0,4.0,3.0,1.0,1,2018.0
21014,facebook,"San Francisco, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21015,facebook,"Menlo Park, CA",Current Employee - Technical Sourcer,4.0,5.0,5.0,3.0,4.0,2.0,1,2018.0
21016,facebook,"Menlo Park, CA",Former Employee - Software Engineer,1.0,1.0,1.0,1.0,3.0,1.0,19,2018.0
21017,facebook,"Seattle, WA",Current Employee - Software Engineer,5.0,4.0,5.0,5.0,5.0,5.0,1,2018.0
21018,facebook,"Menlo Park, CA",Current Employee - Human Resources Leader,5.0,4.0,5.0,5.0,5.0,5.0,2,2018.0
21019,facebook,"Menlo Park, CA",Current Employee - Manager,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21020,facebook,"Austin, TX",Current Employee - Team Lead,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
21021,facebook,"Menlo Park, CA",Former Employee - Technical Sourcer,4.0,4.0,4.0,4.0,4.0,4.0,0,2018.0
21022,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,5.0,2,2018.0
21023,facebook,"Menlo Park, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,2,2018.0
21024,facebook,"Seattle, WA",Current Employee - Software Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
