,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
0,google,"Mountain View, CA",Former Employee - Program Manager,4.0,2.0,3.0,3.0,5.0,3.0,2094,2013.0
1,google,"New York, NY",Current Employee - Software Engineer III,5.0,5.0,4.0,5.0,5.0,4.0,949,2014.0
2,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,2.0,5.0,5.0,4.0,5.0,498,2015.0
3,google,"Los Angeles, CA",Former Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,49,2018.0
4,google,"Mountain View, CA",Former Employee - SDE2,5.0,4.0,4.0,4.0,5.0,4.0,1,2018.0
5,google,"New York, NY",Current Employee - Software Engineer,5.0,5.0,4.0,4.0,5.0,4.0,0,2018.0
6,google,"New York, NY",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
7,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,4.0,4.0,3.0,0,2018.0
8,google,"San Francisco, CA",Current Employee - Sales Operations Analyst,5.0,5.0,5.0,5.0,4.0,4.0,1,2018.0
9,google,"New York, NY",Current Employee - Designer,5.0,3.0,4.0,3.0,4.0,5.0,2,2018.0
10,google,"Los Angeles, CA",Current Employee - Staff Accountant,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
11,google,"San Francisco, CA",Current Employee - Program Manager I,5.0,5.0,5.0,5.0,5.0,5.0,3,2018.0
12,google,"Mountain View, CA",Former Employee - Senior Director,3.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
13,google,"Mountain View, CA",Current Employee - Software Engineering Manager,4.0,5.0,5.0,4.0,4.0,4.0,0,2018.0
14,google,"Dearborn, MI",Current Employee - Google Specialist,5.0,3.0,4.0,4.0,5.0,4.0,1,2018.0
15,google,"New York, NY",Current Employee - Anonymous Employee,4.0,4.0,3.0,3.0,4.0,3.0,0,2018.0
16,google,"Sunnyvale, CA",Current Employee - Anonymous Employee,5.0,3.0,5.0,5.0,5.0,4.0,0,2018.0
17,google,"Seattle, WA",Current Employee - Staff Software Engineer,5.0,4.0,4.0,5.0,5.0,3.0,2,2018.0
18,google,"New York, NY",Current Employee - Program Manager,5.0,5.0,3.0,5.0,4.0,5.0,0,2018.0
19,google,"Sunnyvale, CA",Current Employee - Software Engineer,5.0,5.0,5.0,4.0,4.0,4.0,0,2018.0
20,google,"Ann Arbor, MI",Former Employee - Associate Account Strategist,5.0,4.0,4.0,5.0,5.0,2.0,0,2018.0
21,google,"Mountain View, CA",Current Employee - Anonymous Employee,3.0,2.0,1.0,2.0,5.0,2.0,8,2018.0
22,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
23,google,"New York, NY",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,4.0,4.0,2,2018.0
24,google,"New York, NY",Former Employee - Anonymous Employee,5.0,2.0,2.0,4.0,4.0,3.0,0,2018.0
25,google,"Mountain View, CA",Former Employee - Legal Specialist,4.0,5.0,5.0,3.0,5.0,4.0,0,2018.0
26,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,5.0,3.0,5.0,5.0,4.0,1,2018.0
27,google,"San Francisco, CA",Current Employee - Product Marketing Manager,5.0,4.0,5.0,5.0,5.0,4.0,0,2018.0
28,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,4.0,0,2018.0
29,google,"Pittsburgh, PA",Current Employee - Front End Engineer,5.0,4.0,5.0,5.0,5.0,4.0,0,2018.0
30,google,"Mountain View, CA",Current Employee - Senior Software Engineer,4.0,5.0,4.0,4.0,4.0,4.0,1,2018.0
31,google,"Mountain View, CA",Current Employee - Video,5.0,4.0,5.0,5.0,5.0,4.0,2,2018.0
32,google,"New York, NY",Current Employee - Senior Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
33,google,"Boulder, CO",Current Employee - Product Marketing,5.0,3.0,3.0,4.0,5.0,4.0,0,2018.0
34,google,"New York, NY",Former Employee - Software Engineer,5.0,5.0,4.0,4.0,5.0,4.0,0,2018.0
35,google,"San Francisco, CA",Current Employee - User Experience Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
36,google,"Mountain View, CA",Current Employee - Administrative Business Partner,3.0,3.0,5.0,2.0,3.0,3.0,4,2018.0
37,google,"Mountain View, CA",Current Employee - Senior Software Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
38,google,"New York, NY",Current Employee - Vice President Sales,4.0,5.0,5.0,3.0,5.0,4.0,0,2018.0
