,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
30699,microsoft,"Redmond, WA",Current Employee - Anonymous Employee,4.0,4.0,2.0,2.0,4.0,3.2,1439,2013.0
30700,microsoft,"Redmond, WA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,5.0,1,2018.0
30701,microsoft,"Chicago, IL",Current Employee - CSA,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
30702,microsoft,"Redmond, WA",Current Employee - Senior Program Manager,5.0,5.0,5.0,3.0,4.0,2.0,1,2018.0
30703,microsoft,"Bellevue, WA",Current Employee - Software Engineer II,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
30704,microsoft,"Redmond, WA",Current Employee - Senior Program Manager,5.0,5.0,4.0,4.0,5.0,3.0,0,2018.0
30705,microsoft,"Beaufort, SC",Former Employee - Occupational Health and Safety Specialist,5.0,3.0,3.0,3.0,3.0,3.0,0,2018.0
30706,microsoft,"Sammamish, WA",Current Employee - Senior Program Manager,4.0,5.0,4.0,4.0,5.0,3.0,0,2018.0
30707,microsoft,"Redmond, WA",Former Employee - Anonymous Employee,3.0,2.0,3.0,2.0,5.0,3.0,0,2018.0
30708,microsoft,"Redmond, WA",Former Employee - Principal Level Manager,4.0,4.0,4.0,4.0,4.0,3.0,0,2018.0
30709,microsoft,"Redmond, WA",Current Employee - Software Engineer-II,4.0,5.0,5.0,5.0,3.0,5.0,0,2018.0
30710,microsoft,"Research Triangle Park, NC",Former Employee - Senior Software Engineer,2.0,4.0,1.0,4.0,5.0,3.0,0,2018.0
30711,microsoft,"Redmont Park, AL",Former Employee - Product Manager,4.0,4.0,4.0,5.0,4.0,4.0,0,2018.0
30712,microsoft,"Bridgewater, NJ",Former Employee - Assistant Store Manager,4.0,5.0,3.0,3.0,5.0,3.0,1,2018.0
30713,microsoft,"Phoenix, AZ",Former Employee - Customer Service Representative,5.0,4.0,4.0,4.0,5.0,4.0,0,2018.0
30714,microsoft,"Redmond, WA",Current Employee - User Researcher,4.0,3.0,5.0,4.0,5.0,3.0,0,2018.0
30715,microsoft,"Bellevue, WA",Former Employee - Intern,2.0,5.0,4.0,4.0,5.0,2.0,4,2018.0
30716,microsoft,"Redmond, WA",Former Employee - Anonymous Employee,2.0,3.0,1.0,4.0,3.0,1.0,1,2018.0
30717,microsoft,"Redmond, WA",Current Employee - Senior Electrical Engineer,5.0,3.0,5.0,4.0,3.0,4.0,0,2018.0
30718,microsoft,"Bellevue, WA",Former Employee - Receptionist,3.0,3.0,4.0,3.0,4.0,3.0,0,2018.0
30719,microsoft,"Seattle, WA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,4.0,5.0,0,2018.0
30720,microsoft,"Cambridge, MA",Current Employee - Software Engineer,5.0,4.0,4.0,3.0,5.0,4.0,0,2018.0
30721,microsoft,"Seattle, WA",Current Employee - Support Escalation Engineer,5.0,3.0,5.0,5.0,5.0,5.0,0,2018.0
30722,microsoft,"Redmond, WA",Former Employee - Program Manager,4.0,4.0,3.0,4.0,4.0,2.0,1,2018.0
30723,microsoft,"Seattle, WA",Former Employee - Customer Success Manager,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
30724,microsoft,"Redmond, WA",Current Employee - Software Engineer,5.0,5.0,5.0,4.0,3.0,4.0,0,2018.0
30725,microsoft,"Seattle, WA",Current Employee - Senior Software Engineer,5.0,5.0,4.0,5.0,4.0,4.0,0,2018.0
30726,microsoft,"Sunnyvale, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
30727,microsoft,"Seattle, WA",Former Employee - Student,5.0,5.0,5.0,4.0,4.0,5.0,0,2018.0
30728,microsoft,"Redmond, WA",Former Employee - Software Engineer,3.0,4.0,1.0,3.0,5.0,1.0,3,2018.0
30729,microsoft,"Redmond, WA",Former Employee - Senior Software,5.0,5.0,4.0,4.0,5.0,3.0,0,2018.0
30730,microsoft,"Seattle, WA",Current Employee - Researcher,4.0,4.0,5.0,4.0,4.0,4.0,1,2018.0
30731,microsoft,"Fargo, ND",Former Employee - Senior IT Service Operations,4.0,3.0,4.0,3.0,4.0,3.0,0,2018.0
30732,microsoft,"Redmond, WA",Current Employee - SWE,5.0,5.0,5.0,4.0,3.0,4.0,0,2018.0
30733,microsoft,"Atlanta, GA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
30734,microsoft,"Redmond, WA",Current Employee - Anonymous Employee,5.0,3.6,3.7,3.7,4.0,3.2,0,2018.0
30735,microsoft,"Redmond, WA",Former Employee - Anonymous Employee,4.0,3.0,4.0,5.0,4.0,5.0,0,2018.0
30736,microsoft,"Redmond, WA",Former Employee - Software Engineer,1.0,5.0,1.0,1.0,1.0,1.0,1,2018.0
