,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
22554,netflix,"Los Angeles, CA",Former Employee - Video Editor,5.0,4.0,3.0,4.0,4.0,3.0,0,2018.0
22555,netflix,"Los Angeles, CA",Current Employee - Anonymous Employee,4.0,4.0,5.0,4.0,5.0,4.0,8,2018.0
22556,netflix,"Los Gatos, CA",Former Employee - Anonymous Employee,2.0,2.0,1.0,3.0,4.0,2.0,35,2018.0
22557,netflix,"London, CA",Former Employee - N/A,4.0,4.0,4.0,4.0,3.0,3.0,0,2018.0
22558,netflix,"Salt Lake City, UT",Former Employee - Tier III/Technical Research Analyst,2.0,2.0,2.0,1.0,5.0,2.0,1,2018.0
22559,netflix,"Salt Lake City, UT",Former Employee - Anonymous Employee,4.0,4.0,4.0,4.0,5.0,4.0,5,2018.0
22560,netflix,"Los Angeles, CA",Current Employee - Physical Production Coordinator,3.0,1.0,5.0,2.0,5.0,1.0,5,2018.0
22561,netflix,"Los Gatos, CA",Former Employee - Linguist,3.0,2.0,3.0,3.0,3.0,2.0,0,2018.0
22562,netflix,"Los Angeles, CA",Current Employee - Recruiter,5.0,4.0,5.0,5.0,5.0,5.0,1,2018.0
22563,netflix,"Los Gatos, CA",Current Employee - Senior UI Engineer,5.0,5.0,5.0,5.0,5.0,5.0,2,2018.0
22564,netflix,"New York, NY",Current Employee - Systems Administrator,4.0,3.0,5.0,5.0,5.0,3.0,1,2018.0
22565,netflix,"Los Gatos, CA",Current Employee - Account Manager,3.0,3.0,4.0,3.0,4.0,3.0,0,2018.0
22566,netflix,"San Francisco, CA",Current Employee - Senior Security Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
22567,netflix,"Los Gatos, CA",Former Employee - Senior Manager,4.0,1.0,5.0,4.0,5.0,5.0,5,2018.0
22568,netflix,"Los Angeles, CA",Current Employee - Lead Creative,5.0,4.0,5.0,4.0,4.0,4.0,0,2018.0
22569,netflix,"Salt Lake City, UT",Current Employee - Technical Research Analyst,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
22570,netflix,"Los Angeles, CA",Former Employee - Anonymous Employee,2.0,1.0,1.0,1.0,5.0,1.0,24,2018.0
