,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,Company_code,Job_code,Locations_code
0,0.75,0.25,0.5,0.5,1.0,0.5,1.0,0.6000000000000001,0.8302820385947551,0.517948717948718
1,1.0,0.25,1.0,1.0,0.75,1.0,0.23782234957020057,0.6000000000000001,0.02028698664027709,0.517948717948718
2,1.0,1.0,1.0,1.0,1.0,1.0,0.023400191021967526,0.6000000000000001,0.9223156853043049,0.41025641025641024
3,1.0,0.75,0.75,0.75,1.0,0.75,0.0004775549188156638,0.6000000000000001,0.851558634339436,0.517948717948718
4,1.0,0.75,1.0,0.75,0.75,0.5,0.0,0.6000000000000001,0.02028698664027709,0.517948717948718
5,1.0,1.0,1.0,1.0,0.75,0.75,0.0004775549188156638,0.6000000000000001,0.38396833250865914,0.7487179487179487
6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.5051954477981198,0.41025641025641024
7,1.0,1.0,1.0,1.0,1.0,1.0,0.0014326647564469914,0.6000000000000001,0.33745670460168237,0.7487179487179487
8,0.5,0.75,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.87629886194953,0.517948717948718
9,0.75,1.0,1.0,0.75,0.75,0.75,0.0,0.6000000000000001,0.49282533399307277,0.517948717948718
10,1.0,0.5,1.0,1.0,1.0,0.75,0.0,0.6000000000000001,0.02028698664027709,0.8717948717948718
11,1.0,1.0,1.0,0.75,0.75,0.75,0.0,0.6000000000000001,0.47847600197921825,0.8717948717948718
12,0.5,0.25,0.0,0.25,1.0,0.25,0.0038204393505253103,0.6000000000000001,0.02028698664027709,0.517948717948718
13,1.0,1.0,1.0,1.0,1.0,1.0,0.0004775549188156638,0.6000000000000001,0.47847600197921825,0.517948717948718
14,0.75,1.0,1.0,0.5,1.0,0.75,0.0,0.6000000000000001,0.7595249876298863,0.517948717948718
15,1.0,1.0,0.5,1.0,1.0,0.75,0.0004775549188156638,0.6000000000000001,0.02028698664027709,0.517948717948718
16,1.0,0.75,1.0,1.0,1.0,0.75,0.0,0.6000000000000001,0.3310242454230579,0.7487179487179487
17,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.6000000000000001,0.47847600197921825,0.517948717948718
18,0.75,1.0,0.75,0.75,0.75,0.75,0.0004775549188156638,0.6000000000000001,0.4438396833250866,0.517948717948718
19,1.0,0.75,1.0,1.0,1.0,0.75,0.0009551098376313276,0.6000000000000001,0.5596239485403266,0.517948717948718
20,1.0,0.75,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.5551707075705097,0.7487179487179487
21,0.5,0.5,1.0,0.25,0.5,0.5,0.0019102196752626551,0.6000000000000001,0.011380504700643248,0.517948717948718
22,1.0,0.75,1.0,1.0,1.0,1.0,0.0,0.6000000000000001,0.4438396833250866,0.517948717948718
23,0.0,0.0,0.0,0.0,0.75,0.0,0.0014326647564469914,0.6000000000000001,0.5888174171202376,0.517948717948718
24,1.0,1.0,0.75,1.0,1.0,0.75,0.0,0.6000000000000001,0.09153884215734785,0.7487179487179487
25,0.5,0.5,0.25,0.5,0.5,0.5,0.0009551098376313276,0.6000000000000001,0.02028698664027709,0.517948717948718
26,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.6000000000000001,0.421573478476002,0.517948717948718
27,1.0,1.0,1.0,0.75,1.0,0.75,0.002387774594078319,0.6000000000000001,0.9282533399307275,0.517948717948718
28,0.75,0.75,0.75,0.5,0.75,0.75,0.0,0.6000000000000001,0.7100445324096982,0.517948717948718
29,0.75,0.75,0.75,1.0,1.0,0.5,0.0,0.6000000000000001,0.4438396833250866,0.517948717948718
30,1.0,1.0,1.0,1.0,1.0,0.75,0.0004775549188156638,0.6000000000000001,0.7456704601682336,0.41025641025641024
31,1.0,0.75,1.0,0.75,0.5,1.0,0.0,0.6000000000000001,0.2830282038594755,0.517948717948718
