,company,location,job-title,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,year
1,google,"Mountain View, CA",Former Employee - Program Manager,4.0,2.0,3.0,3.0,5.0,3.0,2094,2013.0
3,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,2.0,5.0,5.0,4.0,5.0,498,2015.0
4,google,"Los Angeles, CA",Former Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,49,2018.0
5,google,"Mountain View, CA",Former Employee - SDE2,5.0,4.0,4.0,4.0,5.0,4.0,1,2018.0
10,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,4.0,4.0,3.0,0,2018.0
13,google,"San Francisco, CA",Current Employee - Sales Operations Analyst,5.0,5.0,5.0,5.0,4.0,4.0,1,2018.0
24,google,"Los Angeles, CA",Current Employee - Staff Accountant,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
27,google,"San Francisco, CA",Current Employee - Program Manager I,5.0,5.0,5.0,5.0,5.0,5.0,3,2018.0
31,google,"Mountain View, CA",Former Employee - Senior Director,3.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
33,google,"Mountain View, CA",Current Employee - Software Engineering Manager,4.0,5.0,5.0,4.0,4.0,4.0,0,2018.0
39,google,"Sunnyvale, CA",Current Employee - Anonymous Employee,5.0,3.0,5.0,5.0,5.0,4.0,0,2018.0
44,google,"Sunnyvale, CA",Current Employee - Software Engineer,5.0,5.0,5.0,4.0,4.0,4.0,0,2018.0
49,google,"Mountain View, CA",Current Employee - Anonymous Employee,3.0,2.0,1.0,2.0,5.0,2.0,8,2018.0
52,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
65,google,"Mountain View, CA",Former Employee - Legal Specialist,4.0,5.0,5.0,3.0,5.0,4.0,0,2018.0
66,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,5.0,3.0,5.0,5.0,4.0,1,2018.0
68,google,"San Francisco, CA",Current Employee - Product Marketing Manager,5.0,4.0,5.0,5.0,5.0,4.0,0,2018.0
73,google,"Mountain View, CA",Current Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,4.0,0,2018.0
81,google,"Mountain View, CA",Current Employee - Senior Software Engineer,4.0,5.0,4.0,4.0,4.0,4.0,1,2018.0
86,google,"Mountain View, CA",Current Employee - Video,5.0,4.0,5.0,5.0,5.0,4.0,2,2018.0
91,google,"San Francisco, CA",Current Employee - User Experience Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
94,google,"Mountain View, CA",Current Employee - Administrative Business Partner,3.0,3.0,5.0,2.0,3.0,3.0,4,2018.0
95,google,"Mountain View, CA",Current Employee - Senior Software Engineer,5.0,4.0,5.0,5.0,5.0,5.0,0,2018.0
102,google,"Mountain View, CA",Former Employee - Anonymous Employee,1.0,1.0,1.0,1.0,4.0,1.0,3,2018.0
103,google,"San Francisco, CA",Current Employee - Creative LEad,5.0,5.0,4.0,5.0,5.0,4.0,0,2018.0
110,google,"Mountain View, CA",Current Employee - Anonymous Employee,3.0,3.0,2.0,3.0,3.0,3.0,2,2018.0
111,google,"Mountain View, CA",Current Employee - Senior Manager,5.0,5.0,5.0,5.0,5.0,4.0,0,2018.0
119,google,"Mountain View, CA",Former Employee - Software Engineering Intern,5.0,5.0,5.0,4.0,5.0,4.0,5,2018.0
130,google,"Mountain View, CA",Former Employee - Global Security Customer Service,4.0,4.0,4.0,3.0,4.0,4.0,0,2018.0
131,google,"Mountain View, CA",Current Employee - Senior Software Engineer,4.0,4.0,4.0,5.0,5.0,3.0,0,2018.0
139,google,"Los Angeles, CA",Former Employee - Intern,5.0,5.0,5.0,5.0,5.0,4.0,1,2018.0
142,google,"Mountain View, CA",Current Employee - Operations Project Coordinator,5.0,4.0,5.0,4.0,3.0,5.0,0,2018.0
145,google,"Sunnyvale, CA",Current Employee - Anti-abuse Associate,5.0,5.0,5.0,5.0,5.0,5.0,1,2018.0
148,google,"Sunnyvale, CA",Current Employee - Senior Program Manager,5.0,4.0,5.0,5.0,3.0,4.0,0,2018.0
150,google,"Mountain View, CA",Current Employee - Product Marketing Manager,3.0,1.0,3.0,5.0,5.0,3.0,1,2018.0
151,google,"Sunnyvale, CA",Current Employee - Electrical Engineer,1.0,1.0,1.0,1.0,1.0,1.0,12,2018.0
155,google,"Mountain View, CA",Current Employee - Designer,5.0,4.0,5.0,5.0,5.0,4.0,4,2018.0
160,google,"Mountain View, CA",Current Employee - Product Manager,4.0,3.0,4.0,5.0,5.0,4.0,0,2018.0
169,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
181,google,"Mountain View, CA",Current Employee - Data Analyst,3.0,5.0,3.0,3.0,3.0,2.0,0,2018.0
186,google,"Mountain View, CA",Former Employee - Senior Recruiter,5.0,4.0,5.0,5.0,5.0,4.0,1,2018.0
188,google,"Mountain View, CA",Current Employee - Hardware Engineer,1.0,2.0,1.0,2.0,3.0,1.0,5,2018.0
189,google,"Mountain View, CA",Former Employee - Account Strategist,5.0,5.0,5.0,5.0,5.0,5.0,3,2018.0
191,google,"Mountain View, CA",Former Employee - Associate Compensation Analyst,5.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
192,google,"Mountain View, CA",Former Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
199,google,"Mountain View, CA",Former Employee - Video Producer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
200,google,"Mountain View, CA",Former Employee - Strategy and Programs Manager,4.0,5.0,4.0,3.0,4.0,4.0,0,2018.0
201,google,"San Francisco, CA",Current Employee - Software Engineer,4.0,3.0,4.0,3.0,4.0,3.0,0,2018.0
202,google,"Los Angeles, CA",Former Employee - Software Developer,4.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
204,google,"Mountain View, CA",Current Employee - Anonymous Employee,5.0,5.0,5.0,5.0,5.0,5.0,2,2018.0
206,google,"Los Angeles, CA",Former Employee - Assistant,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
209,google,"San Bernardino, CA",Former Employee - International Product Manager,4.0,4.0,4.0,5.0,4.0,4.0,0,2018.0
213,google,"Sunnyvale, CA",Current Employee - BSA Analyst,4.0,3.0,4.0,3.0,5.0,3.0,0,2018.0
218,google,"Sunnyvale, CA",Current Employee - Technical Program Manager,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
220,google,"Mountain View, CA",Former Employee - Software Engineer,4.0,2.0,5.0,5.0,5.0,3.0,2,2018.0
223,google,"San Francisco, CA",Current Employee - Software Engineer,2.0,3.0,2.0,2.0,4.0,4.0,9,2018.0
224,google,"Sunnyvale, CA",Current Employee - Administrative Business Partner,5.0,5.0,5.0,4.0,5.0,5.0,1,2018.0
227,google,"Los Angeles, CA",Current Employee - Anonymous Employee,5.0,4.0,5.0,5.0,5.0,4.0,1,2018.0
231,google,"Mountain View, CA",Former Employee - Software Engineer,5.0,5.0,5.0,5.0,5.0,5.0,0,2018.0
240,google,"Los Angeles, CA",Former Employee - Intern,5.0,4.0,4.4,4.0,4.4,3.9,0,2018.0
